"id","intake_capacity","name","students_residing","type_id"
"171911","300","Hostel 1","172","1"
"173336","150","Radharaman Group Hostel","145","1"
"163482","7109","Girls Hostels (Total 34 Hostels)","6195","2"
"157680","100","BOY AINLAJUBA HOSTEL","90","1"
"169960","178","New Boys Hostel","178","1"
"182128","30","Smt J Devi Mahila Chhatrawaas","10","2"
"183449","75","Girls Hostel","40","2"
"165828","100","Boys Hostel-I","100","1"
"190383","100","ST.GEORGE HOSTEL NORTH BLOCK","100","1"
"166249","51","EK DANTA HOSTEL","45","1"
"191833","144","G BLOCK","144","2"
"163026","40","Subash Bose Hostel","40","1"
"164785","57","Extern Block","23","2"
"181504","210","Kailash Hostel","276","1"
"165396","192","Kunja Bihari Halls of Recidence","136","1"
"167454","120","Dayanand Boy's Hostel","120","1"
"175795","366","Fazalur Rehman Khan Hostel","366","1"
"193218","200","BOYS HOSTEL","20","1"
"170239","650","Girls Hostel","645","2"
"171966","193","Durga","186","2"
"187150","54","SCT Girls Hostel","8","2"
"178384","100","Keins B.Ed hostel","25","2"
"182502","150","Girl hostel -2 G K hostel","150","2"
"166368","40","WOMEN HOSTEL","0","2"
"182272","36","Boys Hostel 4","36","1"
"187851","125","ST.JOSEPH HOSTEL FOR WOMEN","108","2"
"171445","100","ITM BOYS HOSTEL","10","1"
"169052","150","SGAD Khalsa Boarding House","35","2"
"173430","44","Boys Hostel","44","1"
"168833","150","SRAMC, Hostel","150","2"
"176110","120","ASPIRATION PG HOSTEL - BOYS","40","1"
"192019","150","GIRLS HOSTEL","135","2"
"170523","150","MANIAN BLOCK","29","1"
"184734","120","Govt. College Hostel, Chittur","142","2"
"188593","132","Arul Mary Girl's Hostel","5","2"
"189181","50","MASS PARAMEDICAL INSTITUTE (Rented)","20","2"
"193040","50","Girls Hostel, Bethany Christian College","25","2"
"182633","10","B.N.V .Hostel","0","3"
"149169","346","NGH","346","2"
"191954","100","Marian Boys Hostel","15","1"
"176758","350","Wing A","15","1"
"151295","100","Senior Girls Hostel","26","2"
